sub_id,label,window_index,window_start_sec,status,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate
004,easy,3,45.0,ok,51.61290322580645,1162.5,217.0919304119801,46.875,223.71595411369302,1.0,1.0,171.875,33.14563036811942,88.38834764831847,9203.88472731385,0.37499999999999994,0.1721170395869191
004,easy,4,60.0,ok,86.61654135338345,692.7083333333334,95.7540432856783,65.46773484362778,136.5139835633454,1.0,0.6666666666666666,62.5,46.292679256852026,57.29166666666669,8332.084123705547,0.8080176743014168,0.32102728731942215
004,easy,5,75.0,ok,80.62992125984252,744.140625,162.55586104162586,135.01543121683042,284.128785353872,1.0,1.0,101.5625,162.71353491472195,104.16666666666669,53247.87978413717,1.5620499351813304,0.16812373907195696
004,easy,6,90.0,ok,95.37254901960785,629.1118421052631,157.05729811969667,149.31673325020338,223.41812932562934,0.8181818181818182,0.8181818181818182,78.125,152.5187230242041,138.2664938489473,66250.62555141364,1.1030779676154008,0.16743407283382167
004,easy,7,105.0,ok,103.971119133574,577.0833333333334,145.0649399598523,99.52453932860693,172.28036612908457,0.8571428571428571,0.7142857142857143,78.125,115.25295217344271,116.84153864555715,42305.730515741685,0.9864039237198555,0.3467406380027739
004,easy,8,112.171875,ok,97.32718894009216,616.4772727272727,192.91006956096547,117.1875,445.38102542935076,1.0,1.0,171.875,303.8349450410946,104.96116283237814,100188.12020878092,2.8947368421052633,0.29507229271171437
004,hard,0,0.0,failed_hp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
004,hard,1,15.0,ok,101.05263157894737,593.75,170.44862679118305,112.13046948755722,218.47080397046193,1.0,1.0,140.625,144.26707275483895,143.73726166386018,65145.80566331593,1.0036859690023716,0.2809383340356792
004,hard,2,30.0,ok,94.68493150684932,633.6805555555555,169.42879026049795,72.54368894366729,240.37459915029845,1.0,1.0,156.25,145.1808319246495,66.49554861876928,30328.555557915646,2.1833165518641984,0.1754693805930865
004,hard,3,45.0,ok,83.47826086956522,718.75,0.0,--,nan,nan,nan,0.0,nan,nan,nan,nan,nan
004,hard,4,60.0,ok,65.08474576271186,921.875,15.625,0.0,31.25,1.0,0.0,15.625,0.0,0.0,0.0,nan,nan
004,hard,5,75.0,ok,113.77777777777777,527.34375,139.6996464238099,118.19589289489811,187.71688844729272,0.8333333333333334,0.8333333333333334,62.5,128.53086124221943,131.29752777037012,53016.84005364475,0.9789282663951647,0.2372479240806643
004,hard,6,89.265625,ok,100.69129916567341,595.8806818181819,173.3085525042721,138.9976101014162,276.63820400201695,0.8461538461538461,0.8461538461538461,132.8125,195.1968962609581,146.98393920383188,90134.83394050603,1.3280151376965499,0.3053435114503817
005,easy,0,0.0,failed_hp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
005,easy,1,15.0,ok,176.36048526863087,340.2122641509434,150.56404091159462,126.1215120527388,215.14893097573133,0.9111111111111111,0.8444444444444444,78.125,152.01910744303748,133.32519506413217,63673.72812799035,1.1402129010192945,0.33316674995835416
005,easy,2,30.0,ok,131.44254278728607,456.4732142857143,125.02490982667561,115.53860865888272,185.57529290893035,0.8235294117647058,0.7647058823529411,78.125,129.11885614300567,108.70096312200052,44093.33366369842,1.1878354380180527,0.23490721165139766
005,easy,3,45.0,ok,171.0,350.87719298245617,139.9095523368691,122.4473344385261,181.36389650569697,0.8333333333333334,0.6875,78.125,125.85643261559474,136.67049464625572,54038.09823881745,0.9208749331108297,0.25026277591471047
005,easy,4,60.0,ok,154.50125733445097,388.3463541666667,129.4767042863454,110.6818994729104,179.92868538856692,0.8947368421052632,0.7368421052631579,70.3125,126.86648872373267,125.34342161980604,49957.228712467695,1.0121511530820215,0.214788165172099
005,easy,5,63.203125,ok,169.0566037735849,354.9107142857143,139.99469001865168,116.7277923976012,192.59660637022162,0.9130434782608695,0.782608695652174,78.125,136.09292951029798,144.4179476895751,61745.68377556129,0.9423546843556339,0.10074044225054148
